"Player";"Position";"Team"
"Shipperley, Dominic";"OB";"REB"
"Duffie, Matt";"OB";"BLU"
"Aso, Vince";"M";"HUR"
"Pocock, David";"LF";"BRU"
"Tuculet, Segundo";"OB";"JAG"
"Tatekawa, Harumichi";"M";"SUN"
"McIntyre, Jake";"FH";"RED"
"Hunt, Karmichael";"OB";"RED"
"Brache, Marcel";"M";"FOR"
"Smith, Rhyno";"OB";"SHA"
"Gates, Shane";"FH";"KIN"
"Walden, Teihorangi";"M";"HIG"
"Sasakura, Yasutaka";"OB";"SUN"
"Dempsey, Jack";"LF";"WAR"
"Leyds, Dillyn";"OB";"STO"
"Schoeman, Paul";"LF";"CHE"
"Paia'aua, Duncan";"FH";"RED"
"Marx, Koch";"M";"LIO"
"Taliauli, Lausii";"OB";"BRU"
"Swanepoel, Dries";"M";"BUL"
"Gonzalez Iglesias, Santiago";"FH";"JAG"
"Brink, Cyle";"LF";"LIO"
"Fardy, Scott";"LF";"BRU"
"Inman, Mitch";"M";"REB"
"Goosen, Wes";"OB";"HUR"
"Odendaal, Burger";"M";"BUL"
"Grant, Peter";"FH";"FOR"
"Baez, Rodrigo";"LF";"JAG"
"Watts, Elgar";"FH";"KIN"
"Smit, Dillon";"HB";"LIO"
"Mnisi, Howard";"M";"LIO"
"Butler, Jarrad";"LF";"BRU"
"Ortega Desio, Javier";"LF";"JAG"
"Boshier, Lachlan";"LF";"CHI"
"Kotze, John-Ben";"M";"BUL"
"McKenzie, Marty";"FH";"CRU"
"Lucas, Matt";"HB";"WAR"
"de Jager, Nick";"LF";"BUL"
"Masirewa, Semisi";"OB";"FOR"
"van Zyl, Piet";"HB";"BUL"
"du Preez, Jean-Luc";"LF";"SHA"
"Quirk, Ed";"LF";"SUN"
"Liebenberg, Hanro";"LF";"BUL"
"Williams, Heimar";"M";"SHA"
"Bholi, Thembelani";"LF";"KIN"
"Cronje, Ross";"HB";"LIO"
"Evans, Gareth";"LF";"HIG"
"Emery, Jason";"M";"HIG"
"Seu, Taleni";"LF";"CHI"
"Christie, Shane";"LF";"HIG"
"Van Breda, Scott";"FH";"STO"
"Hammington, Kayne";"HB";"HIG"
"Schoeman, Tiaan";"FH";"BUL"
"Leota, Robert";"LF";"REB"
"Petti Pagadizaval, Guido";"L";"JAG"
"Du Plessis, JP";"M";"KIN"
"Yatomi, Yuki";"HB";"SUN"
"De La Fuente, Jeronimo";"M";"JAG"
"Gibbins, Callum";"LF";"HUR"
"Lewies, Stephan";"L";"SHA"
"Guyton, Billy";"HB";"BLU"
"Vaega, Matt";"M";"BLU"
"Ungerer, Stefan";"HB";"SHA"
"Coleman, Robbie";"M";"FOR"
"McNicol, Sam";"OB";"CHI"
"Horwitz, David";"FH";"WAR"
"Wells, Michael";"LF";"WAR"
