Player;Position;Team
DeSimone, Nick;D;SJS
DeSmith, Casey;G;PIT
Dea, Jean-Sebastien;C;FLA
Del Zotto, Michael;D;ANA
Delia, Collin;G;CHI
Dell, Aaron;G;SJS
Dellandrea, Ty;C;DAL
Demers, Jason;D;ARI
Demko, Thatcher;G;VAN
Der-Arguchintsev, Semyon;C;TOR
Dermott, Travis;D;TOR
Deslauriers, Nicolas;RW;ANA
Despres, Simon;D;MTL
Desrosiers, Philippe;G;DAL
Devane, Jamie;LW;LAK
Dewar, Connor;C;MIN
Di Giuseppe, Phillip;RW;NSH
Di Pauli, Thomas;C;PIT
DiDomenico, Christopher;C;CHI
DiPietro, Michael;G;VAN
Dickinson, Jason;LW;DAL
Dickinson, Josh;C;COL
Didier, Josiah;D;CAR
Dillon, Brenden;D;SJS
Dineen, Cam;D;ARI
Dirk, Jagger;D;VAN
Djoos, Christian;D;WAS
Djuse, Emil;D;DAL
Dobson, Noah;D;NYI
Domi, Max;C;MTL
Domingue, Louis;G;TAM
Donaghey, Cody;D;SJS
Donato, Ryan;LW;MIN
Donovan, Matt;D;NSH
Donskoi, Joonas;RW;COL
Dorsett, Derek;RW;VAN
Dostal, Lukas;G;ANA
Dostie, Alex;C;ANA
Dotchin, Jake;D;ANA
Doughty, Drew;D;LAK
Douglas, Curtis;C;DAL
Dowd, Nic;C;WAS
Dowling, Justin;C;DAL
Downing, Grayson;RW;COL
Downing, Michael;D;FLA
Draisaitl, Leon;LW;EDM
Drake, David;D;PHI
Drew, Hunter;D;ANA
Driedger, Chris;G;FLA
Dries, Sheldon;C;COL
Drouin, Jonathan;LW;MTL
Drozg, Jan;RW;PIT
Dube, Dillon;LW;CGY
Dubinsky, Brandon;C;CBS
Dubnyk, Devan;G;MIN
Dubois, Pierre-Luc;C;CBS
Ducharme, Justin;RW;ANA
Duchene, Matt;C;NSH
Duclair, Anthony;LW;OTT
Dudas, Aidan;C;LAK
Duhaime, Brandon;RW;MIN
Duke, Reid;C;VGK
Dumba, Matt;D;MIN
Dumont, Gabriel;C;TAM
Dumoulin, Brian;D;PIT
Dun, Derek;G;BOS
Dunkley, Nathan;C;LAK
Dunn, Vince;D;STL
Durandeau, Arnaud;LW;NYI
Durny, Roman;G;ANA
Durzi, Sean;D;LAK
Duszak, Joseph;D;TOR
Dvorak, Christian;C;ARI
Dyblenko, Yaroslav;D;NJD
Dzingel, Ryan;LW;CAR
de Haan, Calvin;D;CHI
de la Rose, Jacob;C;DET
Caamano, Nicholas;RW;DAL
Caggiula, Drake;LW;CHI
Cajkovsky, Michal;D;CAR
Calderone, Tony;RW;DAL
Callahan, Mitch;RW;EDM
Callahan, Ryan;RW;OTT
Calvert, Matt;RW;COL
Campbell, Andrew;D;CHI
Campbell, Colin;C;DET
Campbell, Jack;G;LAK
Cannata, Joe;G;COL
Capobianco, Kyle;D;ARI
Carcone, Michael;LW;VAN
Carey, Greg;C;PHI
Carey, Paul;RW;BOS
Carlo, Brandon;D;BOS
Carlson, John;D;WAS
Carlsson, Gabriel;D;CBS
Carlsson, Lucas;D;CHI
Carpenter, Bobo;LW;NYI
Carpenter, Ryan;LW;CHI
Carr, Daniel;RW;VGK
Carrick, Sam;C;ANA
Carrick, Trevor;D;CAR
Carrier, Alexandre;D;NSH
Carrier, William;LW;VGK
Carter, Jeff;C;LAK
Catenacci, Daniel;C;NYR
