"Player";"Position";"Team"
"Britt, Justin";"OL";"SEA"
"Britt, Kenny";"WR";"STL"
"Britton, Eben";"OL";"CHI"
"Brock, Kevin";"TE";"CIN"
"Brock, Tramaine";"DB";"SFO"
"Brockel, Richie";"TE";"CAR"
"Brockers, Michael";"DL";"STL"
"Brodine, Mason";"TE";"STL"
"Bromley, Jay";"DL";"NYG"
"Bronson, Demitrius";"RB";"SEA"
"Bronson, Malcolm";"DB";"K.C"
"Brooks, Ahmad";"DB";"SFO"
"Brooks, Brandon";"OL";"HOU"
"Brooks, Derrius";"DB";"NOR"
"Brooks, Michael";"DL";"SEA"
"Brooks, Ron";"DB";"BUF"
"Brooks, Terrence";"DB";"BAL"
"Broomfield, Deon";"DB";"BUF"
"Broussard, Risean";"DL";"K.C"
"Brown, Andre";"RB";"HOU"
"Brown, Antonio";"WR";"PIT"
"Brown, Arthur";"DB";"BAL"
"Brown, Austin";"DL";"HOU"
"Brown, Bryce";"RB";"BUF"
"Brown, Charles";"OL";"NYG"
"Brown, Chykie";"DB";"BAL"
"Brown, Donald";"RB";"SDG"
"Brown, Duane";"OL";"HOU"
"Brown, Jalil";"DB";"MIA"
"Brown, James";"OL";"CHI"
"Brown, Jaron";"WR";"ARI"
"Brown, John";"WR";"ARI"
"Brown, Jonathan";"DB";"ARI"
"Brown, Josh";"K";"NYG"
"Brown, Justin";"WR";"PIT"
"Brown, Levi";"DL";"BAL"
"Brown, Marlon";"WR";"BAL"
"Brown, Mike";"WR";"JAC"
"Brown, Omar";"DB";"BAL"
"Brown, Philly";"WR";"CAR"
"Brown, Preston";"DB";"BUF"
"Brown, Sammy";"DL";"STL"
"Brown, Sergio";"DB";"IND"
"Brown, Stevie";"DB";"NYG"
"Brown, Tarell";"DB";"OAK"
"Brown, Vincent";"WR";"SDG"
"Brown, Zach";"DB";"TEN"
"Browner, Brandon";"DB";"NWE"
"Browner, Keith";"DL";"HOU"
"Browning, Bryant";"OL";"PIT"
"Broyles, Ryan";"WR";"DET"
"Bruton, David";"DB";"DEN"
"Bryant, Armonty";"DL";"CLE"
"Bryant, Christian";"DB";"STL"
"Bryant, Corbin";"DL";"BUF"
"Bryant, Desmond";"DL";"CLE"
"Bryant, Dez";"WR";"DAL"
"Bryant, Jarrid";"DB";"STL"
"Bryant, Martavis";"WR";"PIT"
"Bryant, Matt";"K";"ATL"
"Bryant, Red";"DL";"JAC"
"Bucannon, Deone";"DB";"ARI"
"Buchanan, Michael";"DL";"NWE"
"Buckner, Dan";"WR";"ARI"
"Bulaga, Bryan";"OL";"GNB"
"Bullard, Alex";"OL";"DET"
"Bullock, Randy";"K";"HOU"
"Bullough, Max";"DB";"HOU"
"Bumphis, Chad";"WR";"JAC"
"Bunkley, Brodrick";"DL";"NOR"
"Burden, Chandler";"OL";"CIN"
"Burfict, Vontaze";"DB";"CIN"
"Burkhead, Rex";"RB";"CIN"
"Burks, Aaron";"WR";"IND"
"Burleson, Nate";"WR";"CLE"
"Burley, Marcus";"DB";"IND"
"Burnett, Kaelin";"DB";"OAK"
"Burnett, Kevin";"DB";"OAK"
"Burnett, Morgan";"DB";"GNB"
"Burris, Miles";"DB";"OAK"
"Burse, Isaiah";"WR";"DEN"
"Burton, Brandon";"DB";"IND"
"Burton, Pierce";"OL";"MIN"
"Burton, Trey";"TE";"PHI"
"Bush, Dartwan";"DL";"DAL"
"Bush, Jarrett";"DB";"GNB"
"Bush, Josh";"DB";"NYJ"
"Bush, Rafael";"DB";"NOR"
"Bush, Reggie";"RB";"DET"
"Bushrod, Jermon";"OL";"CHI"
"Butler, Brice";"WR";"OAK"
"Butler, Crezdon";"DB";"SDG"
"Butler, Darius";"DB";"IND"
"Butler, Donald";"DB";"SDG"
"Butler, Jeremy";"WR";"BAL"
"Butler, Malcolm";"DB";"NWE"
"Butler, Mario";"DB";"BUF"
"Butler, Victor";"DB";"NOR"
"Bykowski, Carter";"OL";"SFO"
"Byndom, Carrington";"DB";"CAR"
"Bynes, Josh";"DB";"BAL"
"Byrd, Jairus";"DB";"NOR"
"Byrd, LaRon";"WR";"DAL"
"Byrne, Jake";"TE";"SDG"
"Cadet, Travaris";"RB";"NOR"
"Caldwell, Andre";"WR";"DEN"
"Cameron, Jordan";"TE";"CLE"
"Campanaro, Michael";"WR";"BAL"
"Campbell, Calais";"DL";"ARI"
"Campbell, D.J.";"DB";"SFO"
"Campbell, Jason";"QB";"CIN"
"Campbell, Jordan";"RB";"K.C"
"Campbell, Michael";"WR";"NYJ"
"Campbell, Tommie";"DB";"TEN"
"Campbell, William";"OL";"NYJ"
"Cannon, Marcus";"OL";"NWE"
"Canty, Chris";"DL";"BAL"
"Carder, Tank";"DB";"CLE"
"Carey, Don";"DB";"DET"
"Carey, Ka'Deem";"RB";"CHI"
"Carimi, Gabe";"OL";"ATL"
"Carlson, John";"TE";"ARI"
"Carmichael, Roc";"DB";"PHI"
"Carpenter, Dan";"K";"BUF"
"Carpenter, James";"OL";"SEA"
"Carr, Brandon";"DB";"DAL"
"Carr, Derek";"QB";"OAK"
"Carr, Deveron";"DB";"TAM"
"Carradine, Cornellius";"DL";"SFO"
