"DeCastro, David";"OL";"PIT"
"DeGrate, Victor";"DL";"CIN"
"DeVan, Kyle";"OL";"TEN"
"DeVito, Mike";"DL";"NYJ"
"Deadder, Chase";"WR";"TEN"
"Deaderick, Brandon";"DL";"NWE"
"Decker, Eric";"WR";"DEN"
"Dell, Mark";"WR";"DEN"
"Demps, Quintin";"DB";"HOU"
"Denmark, Clarence";"WR";"JAC"
"Dennis, Derek";"OL";"NWE"
"Destin, John";"DB";"IND"
"Develin, James";"RB";"CIN"
"Dever, Taylor";"OL";"SDG"
"Devlin, Pat";"QB";"MIA"
"DiMarco, Patrick";"RB";"K.C"
"Dickerson, Dorin";"RB";"BUF"
"Dickson, Ed";"TE";"BAL"
"Dickson, JoJo";"LB";"CLE"
"Diehl, Chad";"RB";"BAL"
"Dielman, Kris";"OL";"SDG"
"Diles, Zac";"LB";"TEN"
"Dillard, Mark";"DB";"NWE"
"Divens, Lamar";"DL";"TEN"
"Dixon, Connor";"WR";"PIT"
"Dixon, Marcus";"DL";"NYJ"
"Dobbins, Tim";"LB";"HOU"
"Dockery, James";"DB";"CLE"
"Dombrowski, Brandyn";"OL";"SDG"
"Donaldson, Herb";"RB";"TEN"
"Dorsey, Glenn";"DL";"K.C"
"Dorsey, Wayne";"DL";"OAK"
"Doss, Tandon";"WR";"BAL"
"Douglas, Chris";"RB";"BUF"
"Douzable, Leger";"DL";"TEN"
"Dowling, Ras-I";"DB";"NWE"
"Dowtin, Marcus";"LB";"NYJ"
"Doyle, Patrick";"TE";"SDG"
"Draughn, Shaun";"RB";"K.C"
"Dreessen, Joel";"TE";"DEN"
"Drew, Davon";"TE";"BAL"
"Ducasse, Vladimir";"OL";"NYJ"
"Dumervil, Elvis";"DL";"DEN"
"Dunlap, Carlos";"DL";"CIN"
"Durand, Ryan";"OL";"TEN"
"Dwyer, Jonathan";"RB";"PIT"
"Dye, Tony";"DB";"CIN"
"Eachus, Nate";"RB";"K.C"
"Eagan, Kevin";"LB";"IND"
"Easley, Marcus";"WR";"BUF"
"Ebert, Jeremy";"WR";"NWE"
"Ebner, Nate";"DB";"NWE"
"Eddins, Robert";"DL";"BUF"
"Edds, A.J.";"LB";"IND"
"Edelman, Julian";"WR";"NWE"
"Edwards, Dwan";"DL";"BUF"
"Efaw, Kyle";"TE";"OAK"
"Egboh, Pannel";"DL";"TEN"
"Egnew, Michael";"TE";"MIA"
"Elam, Abram";"DB";"K.C"
"Ellerbe, Dannell";"LB";"BAL"
"Elliott, Kevin";"WR";"JAC"
"Ellis, Dominique";"DB";"K.C"
"Ellis, Kenrick";"DL";"NYJ"
"Elmore, Ricky";"LB";"SDG"
"Embree, Taylor";"WR";"SDG"
"Enderle, Nathan";"QB";"JAC"
"English, Auston";"DL";"CLE"
"English, Larry";"LB";"SDG"
"Epps, Dedrick";"TE";"NYJ"
"Essex, Trai";"OL";"PIT"
"Estes, John";"OL";"JAC"
"Etu, Sifa";"OL";"JAC"
"Evans, Darren";"RB";"IND"
"Evans, DeQuin";"DL";"CIN"
"Evans, LaQuinton";"WR";"TEN"
"Evans, Lee";"WR";"JAC"
"Fanene, Jonathan";"DL";"NWE"
"Fangupo, Hebron";"DL";"HOU"
"Fannin, Mario";"RB";"DEN"
"Fanor, Jean";"DB";"K.C"
"Farr, DajLeon";"TE";"BUF"
"Fasano, Anthony";"TE";"MIA"
"Fayson, Jarred";"WR";"IND"
"Feinga, Ray";"OL";"MIA"
"Fells, Daniel";"TE";"NWE"
"Fenelus, Antonio";"DB";"IND"
"Fenner, Chandler";"DB";"K.C"
"Ferguson, D'Brickashaw";"OL";"NYJ"
"Ferguson, Sean";"DL";"BUF"
"Fiammetta, Tony";"RB";"NWE"
"Field, Alex";"DL";"CLE"
"Figgins, Bruce";"TE";"BAL"
"Fitzpatrick, Ryan";"QB";"BUF"
"Flacco, Joe";"QB";"BAL"
"Fleener, Coby";"TE";"IND"
"Fletcher, Dane";"LB";"NWE"
"Fletcher, Donnie";"DB";"NYJ"
"Florence, Drayton";"DB";"DEN"
"Flowers, Brandon";"DB";"K.C"
"Floyd, Malcom";"WR";"SDG"
"Fokou, Moise";"LB";"IND"
"Foley, Ricky";"LB";"NYJ"
"Folk, Nick";"K";"NYJ"
"Foote, Larry";"LB";"PIT"
"Forcier, Chris";"WR";"NYJ"
"Ford, Jacoby";"WR";"OAK"
"Ford, Jason";"RB";"HOU"
"Forsett, Justin";"RB";"HOU"
"Forston, Marcus";"DL";"NWE"
"Fort, L.J.";"LB";"CLE"
"Foster, Arian";"RB";"HOU"
"Foster, Jason";"OL";"IND"
"Foster, Ramon";"OL";"PIT"
"Fox, Keyaron";"LB";"HOU"
"Francis, Justin";"DL";"NWE"
"Francisco, Aaron";"DB";"TEN"
"Franklin, Aubrayo";"DL";"SDG"
"Franklin, Jerry";"LB";"DEN"
"Franklin, Orlando";"OL";"DEN"
"Franklin, Stephen";"LB";"JAC"
"Freeman, Andre";"DB";"PIT"
"Freeman, Eltoro";"LB";"BAL"
"Freeman, Marcus";"LB";"HOU"
"Freeney, Dwight";"DL";"IND"
"Freeny, Jonathan";"LB";"MIA"
"Fugger, Tim";"LB";"IND"
"Fujita, Scott";"LB";"CLE"
"Fuller, Jeff";"WR";"MIA"
"Gabbert, Blaine";"QB";"JAC"
"Gachkar, Andrew";"LB";"SDG"
"Gaffney, Jabar";"WR";"NWE"
"Gaither, Jared";"OL";"SDG"
"Galippo, Chris";"LB";"IND"
"Gallery, Robert";"OL";"NWE"
"Gamble, Darryl";"LB";"SDG"
"Ganaway, DaMarcus";"WR";"NYJ"
"Ganaway, Terrance";"RB";"NYJ"
"Garay, Antonio";"DL";"SDG"
"Gardner, Andrew";"OL";"HOU"
"Garland, Ben";"DL";"DEN"
"Garner, Nate";"OL";"MIA"
"Garrard, David";"QB";"MIA"
"Gates, Antonio";"TE";"SDG"
"Gates, Clyde";"WR";"MIA"
"Geathers, Robert";"DL";"CIN"
"Gentry, Taylor";"RB";"K.C"
"Gerhart, Garth";"OL";"CLE"
"Ghee, Brandon";"DB";"CIN"
"Gilbert, Charles";"WR";"JAC"
"Gilbert, Jarron";"DL";"BUF"
"Gilbert, Marcus";"OL";"PIT"
"Gilchrist, Marcus";"DB";"SDG"
"Gilreath, David";"WR";"PIT"
"Giordano, Matt";"DB";"OAK"
"Gipson, Tashaun";"DB";"CLE"
"Glenn, Cody";"LB";"BAL"
"Glenn, Cordy";"OL";"BUF"
"Gocong, Chris";"LB";"CLE"
"Goda, Devin";"WR";"BAL"
"Goethel, Travis";"LB";"OAK"
"Golden, Robert";"DB";"PIT"
"Goodman, Richard";"WR";"SDG"
"Goodson, Mike";"RB";"OAK"
"Goodwin, D'Andre";"WR";"DEN"
"Gordon, Amon";"DL";"K.C"
"Gordon, Josh";"WR";"CLE"
"Gordon, Richard";"TE";"OAK"
"Gorrer, Danny";"DB";"BAL"
"Gostkowski, Stephen";"K";"NWE"
"Gradkowski, Bruce";"QB";"CIN"
"Gradkowski, Gino";"OL";"BAL"
"Graham, Cameron";"TE";"TEN"
"Graham, Corey";"DB";"BAL"
"Graham, Dorian";"WR";"BAL"
"Graham, Garrett";"TE";"HOU"
"Graham, Shayne";"K";"HOU"
"Graham, T.J.";"WR";"BUF"
"Grant, Adam";"OL";"DEN"
"Gray, Cyrus";"RB";"K.C"
"Gray, Jonas";"RB";"MIA"
"Greco, John";"OL";"CLE"
"Green, A.J.";"WR";"CIN"
"Green, Isaiah";"DB";"BUF"
"Green, Ladarius";"TE";"SDG"
"Green, Tyronne";"OL";"SDG"
"Green, Virgil";"TE";"DEN"
"Green, William";"DL";"CLE"
"Green-Ellis, BenJarvus";"RB";"CIN"
"Greene, Courtney";"DB";"JAC"
"Greene, Shonn";"RB";"NYJ"
"Greenwood, Cory";"LB";"K.C"
"Gregory, Steve";"DB";"NWE"
"Gresham, Jermaine";"TE";"CIN"
"Griffin, John";"RB";"NYJ"
"Griffin, Michael";"DB";"TEN"
"Griffin, Robert";"OL";"NYJ"
"Grimes, Jonathan";"RB";"HOU"
"Grisham, Tyler";"WR";"DEN"
"Grissett, Torrey";"WR";"CLE"
"Gronkowski, Chris";"RB";"DEN"
"Gronkowski, Dan";"TE";"CLE"
