"Player";"DL";"Team"
"McCoy, Jamie";"TE";"PIT"
"McCray, Kelcie";"DB";"MIA"
"McElroy, Greg";"QB";"NYJ"
"McFadden, Darren";"RB";"OAK"
"McFadden, Walter";"DB";"PIT"
"McGahee, Willis";"RB";"DEN"
"McGee, Eddie";"WR";"OAK"
"McGee, Terrence";"DB";"BUF"
"McIntyre, Corey";"RB";"BUF"
"McKelvin, Leodis";"DB";"BUF"
"McKnight, Joe";"RB";"NYJ"
"McKnight, Scotty";"WR";"NYJ"
"McManis, Sherrick";"DB";"HOU"
"McMichael, Randy";"TE";"SDG"
"McNeal, Shawnbrey";"RB";"SDG"
"Meachem, Robert";"WR";"SDG"
"Medlin, Richard";"RB";"MIA"
"Meggett, Davin";"RB";"HOU"
"Melillo, Nick";"TE";"NWE"
"Mendenhall, Rashard";"RB";"PIT"
"Merletti, Matt";"DB";"IND"
"Messam, Jerome";"RB";"MIA"
"Middleton, William";"DB";"JAC"
"Miles, Jeromy";"DB";"CIN"
"Miller, Anthony";"TE";"DEN"
"Miller, Heath";"TE";"PIT"
"Miller, Kyle";"TE";"IND"
"Miller, Lamar";"RB";"MIA"
"Miller, Lonyae";"RB";"OAK"
"Miller, Prince";"DB";"BUF"
"Miller, Zach";"TE";"JAC"
"Mitchell, Carlton";"WR";"CLE"
"Mitchell, Mike";"DB";"OAK"
"Moeaki, Tony";"TE";"K.C"
"Mooney, Collin";"RB";"TEN"
"Moore, Denarius";"WR";"OAK"
"Moore, Evan";"TE";"CLE"
"Moore, Joshua";"DB";"DEN"
"Moore, Kashif";"WR";"CIN"
"Moore, Marlon";"WR";"MIA"
"Moore, Matt";"QB";"MIA"
"Moore, Mewelde";"RB";"IND"
"Moore, Rahim";"DB";"DEN"
"Moore, Sterling";"DB";"NWE"
"Moreno, Knowshon";"RB";"DEN"
"Moulton, Rashod";"DB";"DEN"
"Mouton, Ryan";"DB";"TEN"
"Muhammad, Dre";"WR";"OAK"
"Mundy, Ryan";"DB";"PIT"
"Murphy, Richard";"RB";"JAC"
"Murray, Rico";"DB";"CIN"
"Myers, Brandon";"TE";"OAK"
"Naanee, Legedu";"WR";"MIA"
"Nelson, David";"WR";"BUF"
"Nelson, Reggie";"DB";"CIN"
"Nesbitt, Joshua";"DB";"BUF"
"Newhall-Caballero, Kyle";"QB";"OAK"
"Newman, Terence";"DB";"CIN"
"Newsome, Jamar";"WR";"K.C"
"Newton, Mike";"DB";"IND"
"Nolan, Troy";"DB";"HOU"
"Norris, Moran";"RB";"HOU"
"Norwood, Jordan";"WR";"CLE"
"Novak, Nick";"K";"SDG"
"Nsekhe, Ty";"DB";"IND"
"Nugent, Mike";"K";"CIN"
"O'Connell, Jake";"TE";"K.C"
"O'Connell, Kevin";"QB";"SDG"
"Ogbonnaya, Chris";"RB";"CLE"
"Omon, Xavier";"RB";"DEN"
"Onobun, Fendi";"TE";"BUF"
"Ortiz, Robert";"WR";"NWE"
"Osweiler, Brock";"QB";"DEN"
"Otis, Jeff";"QB";"OAK"
"Owens, Montell";"RB";"JAC"
"Page, Eric";"WR";"DEN"
"Painter, Curtis";"QB";"BAL"
"Palmer, Carson";"QB";"OAK"
"Palmer, Jordan";"QB";"JAC"
"Parks, Terrance";"DB";"K.C"
"Parmele, Jalen";"RB";"JAC"
"Parrish, Roscoe";"WR";"SDG"
"Patterson, Dimitri";"DB";"CLE"
"Paulson, David";"TE";"PIT"
"Payne, Logan";"WR";"BAL"
"Payne, Phillip";"WR";"SDG"
"Peerman, Cedric";"RB";"CIN"
"Pendergrass, Brandon";"RB";"BAL"
"Perkins, Anthony";"DB";"DEN"
"Pierce, Bernard";"RB";"BAL"
"Pitta, Dennis";"TE";"BAL"
"Pleasant, Eddie";"DB";"HOU"
"Polamalu, Troy";"DB";"PIT"
"Polk, Nick";"DB";"SDG"
"Pollard, Bernard";"DB";"BAL"
"Pollard, Royce";"WR";"NYJ"
"Pope, Leonard";"TE";"PIT"
"Porter, Tracy";"DB";"DEN"
"Posey, DeVier";"WR";"HOU"
"Posey, Julian";"DB";"NYJ"
"Potter, John";"K";"BUF"
"Potter, Zach";"TE";"JAC"
"Powell, Bilal";"RB";"NYJ"
"Powell, Chaz";"DB";"OAK"
"Powers, Jerraud";"DB";"IND"
"Prater, Matt";"K";"DEN"
"Presley, De'Andre";"DB";"SDG"
"Pressley, Chris";"RB";"CIN"
"Preston, Michael";"WR";"TEN"
"Price, Taylor";"WR";"JAC"
"Prosinski, Chris";"DB";"JAC"
"Provo, Nick";"TE";"BAL"
"Pruitt, Julius";"WR";"MIA"
"Pryor, Terrelle";"QB";"OAK"
"Quarles, Cyhl";"DB";"BAL"
"Quin, Glover";"DB";"HOU"
"Quinn, Brady";"QB";"K.C"
"Rainey, Bobby";"RB";"BAL"
"Rainey, Chris";"RB";"PIT"
"Redman, Isaac";"RB";"PIT"
"Reece, Marcel";"RB";"OAK"
"Reed, Antwuan";"DB";"CLE"
"Reed, Bert";"WR";"CLE"
"Reed, David";"WR";"BAL"
"Reed, Ed";"DB";"BAL"
"Reeves, Jacques";"DB";"K.C"
"Ressel, Grant";"K";"PIT"
"Revis, Darrelle";"DB";"NYJ"
"Reynaud, Darius";"WR";"TEN"
"Rice, Ray";"RB";"BAL"
"Richardson, Trent";"RB";"CLE"
"Ridley, Stevan";"RB";"NWE"
"Riley, Eron";"WR";"NYJ"
"Ringer, Javon";"RB";"TEN"
"Rivers, Philip";"QB";"SDG"
"Roark, Matt";"WR";"NWE"
"Robinson, Gerell";"WR";"DEN"
"Robinson, Gijon";"TE";"JAC"
"Robinson, Laurent";"WR";"JAC"
"Robinson, Tre'Shawn";"RB";"OAK"
"Robinson, Zac";"QB";"CIN"
"Robiskie, Brian";"WR";"JAC"
"Roethlisberger, Ben";"QB";"PIT"
"Rogers, Justin";"DB";"BUF"
