"Player";"DL";"Team"
"Stroughter, Sammie";"WR";"TAM"
"Summers, Chris";"WR";"CHI"
"Sutton, Tyrell";"RB";"SEA"
"Swain, Brett";"WR";"SFO"
"Szczerba, Andrew";"TE";"DAL"
"Talib, Aqib";"DB";"TAM"
"Talley, Julian";"WR";"NYG"
"Tanner, Andy";"WR";"NOR"
"Tanner, Phillip";"RB";"DAL"
"Taplin-Ross, Justin";"DB";"DAL"
"Tate, Golden";"WR";"SEA"
"Taua, Vai";"RB";"SEA"
"Tavecchio, Giorgio";"K";"SFO"
"Taylor, Kerry";"WR";"MIN"
"Taylor, Nick";"DB";"MIN"
"Taylor, Ryan";"TE";"GNB"
"Teggart, Dave";"K";"CHI"
"Thomas, David";"TE";"NOR"
"Thomas, Devin";"WR";"CHI"
"Thomas, Earl";"DB";"SEA"
"Thomas, Johnny";"DB";"NOR"
"Thomas, Josh";"DB";"CAR"
"Thomas, Josh";"DB";"DAL"
"Thomas, Kevin";"DB";"PHI"
"Thomas, Michael";"DB";"SFO"
"Thomas, Phillip";"DB";"PHI"
"Thomas, Pierre";"RB";"NOR"
"Thomas, Terrell";"DB";"NYG"
"Thomas, Tramain";"DB";"TAM"
"Thompson, Brandyn";"DB";"WAS"
"Thompson, Peyton";"DB";"ATL"
"Thurmond, Walter";"DB";"SEA"
"Tillman, Charles";"DB";"CHI"
"Todman, Jordan";"RB";"MIN"
"Tolbert, Mike";"RB";"CAR"
"Toler, Greg";"DB";"ARI"
"Toliver, Terrence";"WR";"DET"
"Tolzien, Scott";"QB";"SFO"
"Toon, Nick";"WR";"NOR"
"Toone, Tim";"WR";"ATL"
"Tow-Arnett, Nick";"TE";"SEA"
"Trent, Morgan";"DB";"WAS"
"Trufant, Marcus";"DB";"SEA"
"Tryon, Justin";"DB";"NYG"
"Tuimaunei, Suaesi";"DB";"ATL"
"Tuinei, Lavasier";"WR";"SEA"
"Turbin, Robert";"RB";"SEA"
"Turner, Dion";"DB";"GNB"
"Turner, Michael";"RB";"ATL"
"Tyler, Marc";"RB";"GNB"
"Tyms, Brian";"WR";"SFO"
"Tynes, Lawrence";"K";"NYG"
"Underwood, Tiquan";"WR";"TAM"
"Unga, Harvey";"RB";"CHI"
"Vaughan, Josh";"RB";"CAR"
"Vaughn, Chip";"DB";"CAR"
"Venable, Winston";"DB";"CHI"
"Venson, Brandon";"TE";"CHI"
"Vick, Michael";"QB";"PHI"
"Vickers, Lawrence";"RB";"DAL"
"Walker, Delanie";"TE";"SFO"
"Walker, Sean";"WR";"STL"
"Wallace, Rico";"WR";"CAR"
"Walls, Darrin";"DB";"ATL"
"Walsh, Blair";"K";"MIN"
"Walters, Anthony";"DB";"CHI"
"Walters, Bryan";"WR";"MIN"
"Ware, D.J.";"RB";"NYG"
"Ware, Jeremy";"DB";"CHI"
"Washington, Leon";"RB";"SEA"
"Washington, Quenton";"DB";"TAM"
"Weaver, Ross";"DB";"DET"
"Webb, Joe";"QB";"MIN"
"Webb, Martell";"TE";"ARI"
"Webster, Corey";"DB";"NYG"
"Weems, Eric";"WR";"CHI"
"Wells, Austin";"TE";"DET"
"Wells, Beanie";"RB";"ARI"
"Wendling, John";"DB";"DET"
"Wesley, Ed";"RB";"DAL"
"Wheaton, Marquese";"DB";"TAM"
"White, Aron";"TE";"ATL"
"White, Corey";"DB";"NOR"
"White, Roddy";"WR";"ATL"
"Whitley, Eddie";"DB";"DAL"
"Whitlock, C.C.";"DB";"MIN"
"Whitner, Donte";"DB";"SFO"
"Wiggs, Carson";"K";"SEA"
"Wilhite, Jonathan";"DB";"CHI"
"Williams, D.J.";"TE";"GNB"
"Williams, Darnell";"WR";"PHI"
"Williams, DeAngelo";"RB";"CAR"
"Williams, Isaiah";"WR";"ARI"
"Williams, Keiland";"RB";"DET"
"Williams, Kyle";"WR";"SFO"
"Williams, Madieu";"DB";"WAS"
"Williams, Mike";"WR";"TAM"
"Williams, Ryan";"RB";"ARI"
"Williams, Seth";"DB";"NYG"
"Williams, Tramon";"DB";"GNB"
"Wilson, Adrian";"DB";"ARI"
"Wilson, C.J.";"DB";"DAL"
"Wilson, David";"RB";"NYG"
"Wilson, John Parker";"QB";"ATL"
"Wilson, Josh";"DB";"WAS"
"Wilson, Marc";"WR";"ARI"
"Wilson, Russell";"QB";"SEA"
"Winfield, Antoine";"DB";"MIN"
"Winslow, Kellen";"TE";"SEA"
"Winterswyk, Ryan";"TE";"ATL"
"Witherspoon, Brian";"DB";"NYG"
"Witten, Jason";"TE";"DAL"
"Woodson, Charles";"DB";"GNB"
"Woolfolk, Troy";"DB";"DAL"
"Wright, Eric";"DB";"TAM"
"Wright, Jarius";"WR";"MIN"
"Wright, Major";"DB";"CHI"
"Wright, Rodney";"WR";"SFO"
"Wright, Wallace";"WR";"TAM"
"Young, Darrel";"RB";"WAS"
"Young, Titus";"WR";"DET"
"Zelenka, Joe";"TE";"ATL"
"Zuerlein, Greg";"K";"STL"
"Cardinals, Arizona";"DEF";"ARI"
"Falcons, Atlanta";"DEF";"ATL"
"Ravens, Baltimore";"DEF";"BAL"
"Bills, Buffalo";"DEF";"BUF"
"Panthers, Carolina";"DEF";"CAR"
"Bears, Chicago";"DEF";"CHI"
"Bengals, Cincinnati";"DEF";"CIN"
"Browns, Cleveland";"DEF";"CLE"
"Cowboys, Dallas";"DEF";"DAL"
"Broncos, Denver";"DEF";"DEN"
"Lions, Detroit";"DEF";"DET"
"Packers, Green Bay";"DEF";"GNB"
"Texans, Houston";"DEF";"HOU"
"Colts, Indianapolis";"DEF";"IND"
"Jaguars, Jacksonville";"DEF";"JAC"
"Chiefs, Kansas City";"DEF";"K.C"
"Dolphins, Miami";"DEF";"MIA"
"Vikings, Minnesota";"DEF";"MIN"
"Patriots, New England";"DEF";"NWE"
"Saints, New Orleans";"DEF";"NOR"
"Giants, New York";"DEF";"NYG"
"Jets, New York";"DEF";"NYJ"
"Raiders, Oakland";"DEF";"OAK"
"Eagles, Philadelphia";"DEF";"PHI"
"Steelers, Pittsburgh";"DEF";"PIT"
"Chargers, San Diego";"DEF";"SDG"
"49ers, San Francisco";"DEF";"SFO"
"Seahawks, Seattle";"DEF";"SEA"
"Rams, St Louis";"DEF";"STL"
"Buccaneers, Tampa Bay";"DEF";"TAM"
"Titans, Tennessee";"DEF";"TEN"
"Redskins, Washington";"DEF";"WAS"
