"Player";"Position";"Team"
"Powell, Bilal";"RB";"NYJ"
"Prater, Matt";"K";"DEN"
"Pressley, Chris";"RB";"CIN"
"Preston, Michael";"WR";"TEN"
"Price, Taylor";"WR";"JAC"
"Pruitt, Julius";"WR";"MIA"
"Pryor, Terrelle";"QB";"OAK"
"Quinn, Brady";"QB";"DEN"
"Rackers, Neil";"K";"HOU"
"Rayner, Dave";"K";"BUF"
"Redman, Isaac";"RB";"PIT"
"Reece, Marcel";"RB";"OAK"
"Reed, David";"WR";"BAL"
"Rice, Ray";"RB";"BAL"
"Ridley, Stevan";"RB";"NWE"
"Riley, Eron";"WR";"NYJ"
"Ringer, Javon";"RB";"TEN"
"Rivers, Philip";"QB";"SDG"
"Robinson, Zac";"QB";"CIN"
"Robiskie, Brian";"WR";"JAC"
"Roethlisberger, Ben";"QB";"PIT"
"Roosevelt, Naaman";"WR";"BUF"
"Rosario, Dante";"TE";"DEN"
"Ross, Jeremy";"WR";"IND"
"Royal, Eddie";"WR";"DEN"
"Rucker, Martin";"TE";"JAC"
"Sanchez, Mark";"QB";"NYJ"
"Sanders, Emmanuel";"WR";"PIT"
"Saunders, Weslye";"TE";"PIT"
"Scaife, Bo";"TE";"CIN"
"Schaub, Matt";"QB";"HOU"
"Schilens, Chaz";"WR";"OAK"
"Scobee, Josh";"K";"JAC"
"Scott, Bernard";"RB";"CIN"
"Sherrod, Dezmond";"TE";"PIT"
"Shipley, Jordan";"WR";"CIN"
"Shorts, Cecil";"WR";"JAC"
"Simpson, Jerome";"WR";"CIN"
"Slaton, Steve";"RB";"MIA"
"Smith, Alex";"TE";"CLE"
"Smith, Armond";"RB";"CLE"
"Smith, Brad";"WR";"BUF"
"Smith, Clifton";"RB";"MIA"
"Smith, Lee";"TE";"BUF"
"Smith, Rusty";"QB";"TEN"
"Smith, Torrey";"WR";"BAL"
"Spann, Chad";"RB";"PIT"
"Spencer, Owen";"WR";"CLE"
"Sperry, Kory";"TE";"SDG"
"Spiller, C.J.";"RB";"BUF"
"Stanzi, Ricky";"QB";"K.C"
"Stevens, Craig";"TE";"TEN"
"Succop, Ryan";"K";"K.C"
"Suisham, Shaun";"K";"PIT"
"Summers, Frank";"RB";"SDG"
"Swift, Nate";"WR";"JAC"
"Tamme, Jacob";"TE";"IND"
"Tate, Ben";"RB";"HOU"
"Tate, Brandon";"WR";"CIN"
"Taylor, Brad";"TE";"SDG"
"Taylor, Fred";"RB";"JAC"
"Taylor, Tyrod";"QB";"BAL"
"Tebow, Tim";"QB";"DEN"
"Thigpen, Tyler";"QB";"BUF"
"Thomas, Daniel";"RB";"MIA"
"Thomas, Demaryius";"WR";"DEN"
"Thomas, Julius";"TE";"DEN"
"Thomas, Mike";"WR";"JAC"
"Tolbert, Mike";"RB";"SDG"
"Tomlinson, LaDainian";"RB";"NYJ"
"Tonga, Manase";"RB";"OAK"
"Toone, Tim";"WR";"BUF"
"Turner, Patrick";"WR";"NYJ"
"Underwood, Tiquan";"WR";"NWE"
"Urban, Jerheme";"WR";"K.C"
"Vereen, Shane";"RB";"NWE"
"Vickers, Lawrence";"RB";"HOU"
"Vinatieri, Adam";"K";"IND"
"Volek, Billy";"QB";"SDG"
"Wallace, Mike";"WR";"PIT"
"Wallace, Roberto";"WR";"MIA"
"Wallace, Seneca";"QB";"CLE"
"Walter, Kevin";"WR";"HOU"
"Walters, Bryan";"WR";"SDG"
"Ward, Derrick";"RB";"HOU"
"Ward, Hines";"WR";"PIT"
"Washington, Nate";"WR";"TEN"
"Watson, Benjamin";"TE";"CLE"
"Wayne, Reggie";"WR";"IND"
"Weber, Adam";"QB";"DEN"
"Welker, Wes";"WR";"NWE"
"West, Chastin";"WR";"JAC"
"Whalen, Ryan";"WR";"CIN"
"White, Blair";"WR";"IND"
"White, Johnny";"RB";"BUF"
"Williams, Bobby";"WR";"BUF"
"Williams, Damian";"WR";"TEN"
"Williams, Eddie";"RB";"CLE"
"Williams, Javarris";"RB";"HOU"
"Williams, LaQuan";"WR";"BAL"
"Williams, Pat";"WR";"BAL"
"Williams, Ricky";"RB";"BAL"
"Willis, Matt";"WR";"DEN"
"Willy, Drew";"QB";"SDG"
"Wilson, Kris";"TE";"BAL"
"Windsor, Rod";"WR";"CLE"
"Woodhead, Danny";"RB";"NWE"
"Yates, T.J.";"QB";"HOU"
"Yeatman, Will";"TE";"MIA"
"Young, Albert";"RB";"PIT"
"Adams, Darvin";"WR";"CAR"
"Adams, Kyle";"TE";"CHI"
"Agnone, Robert";"TE";"ATL"
"Ajirotutu, Seyi";"WR";"CAR"
"Akers, David";"K";"SFO"
"Alexander, Danario";"WR";"STL"
"Allen, Armando";"RB";"CHI"
"Amendola, Danny";"WR";"STL"
"Anderson, Andre'";"RB";"SEA"
"Anderson, David";"WR";"WAS"
"Anderson, Derek";"QB";"CAR"
"Arceneaux, Emmanuel";"WR";"MIN"
"Armstrong, Anthony";"WR";"WAS"
"Arnett, Alric";"WR";"DET"
"Aromashodu, Devin";"WR";"MIN"
"Arrington, Adrian";"WR";"NOR"
"Asiata, Matt";"RB";"MIN"
"Austin, Miles";"WR";"DAL"
"Austin, Terrence";"WR";"WAS"
"Avant, Jason";"WR";"PHI"
"Bailey, Dan";"K";"DAL"
"Bajema, Billy";"TE";"STL"
"Baldwin, Doug";"WR";"SEA"
"Ballard, Jake";"TE";"NYG"
"Banks, Brandon";"WR";"WAS"
"Barber, Marion";"RB";"CHI"
"Barden, Ramses";"WR";"NYG"
"Barnidge, Gary";"TE";"CAR"
"Bartel, Richard";"QB";"ARI"
"Barth, Connor";"K";"TAM"
"Beck, John";"QB";"WAS"
"Beckum, Travis";"TE";"NYG"
"Bell, Joique";"RB";"DET"
"Bell, Kahlil";"RB";"CHI"
"Benn, Arrelious";"WR";"TAM"
"Bennett, Earl";"WR";"CHI"
"Bennett, Martellus";"TE";"DAL"
"Best, Jahvid";"RB";"DET"
"Billings, Montez";"WR";"NOR"
"Birmingham, DeCori";"RB";"CAR"
"Blount, LeGarrette";"RB";"TAM"
"Bogan, Dontavia";"WR";"SFO"
"Booker, Lorenzo";"RB";"MIN"
"Borel, Diondre";"WR";"GNB"
"Bradford, Allen";"RB";"SEA"
"Bradford, Sam";"QB";"STL"
"Bradshaw, Ahmad";"RB";"NYG"
"Brandstater, Tom";"QB";"STL"
"Brees, Drew";"QB";"NOR"
"Briscoe, Dezmon";"WR";"TAM"
"Brockel, Richie";"TE";"CAR"
"Brown, Andre";"RB";"NYG"
"Brown, Josh";"K";"STL"
"Brown, Ronnie";"RB";"PHI"
"Bryant, Dez";"WR";"DAL"
"Bryant, Matt";"K";"ATL"
"Buehler, David";"K";"DAL"
"Burleson, Nate";"WR";"DET"
"Burton, Stephen";"WR";"MIN"
"Butler, Deon";"WR";"SEA"
"Byham, Nate";"TE";"SFO"
"Byrd, Dominique";"TE";"WAS"
"Calhoun, Duke";"WR";"NYG"
"Camarillo, Greg";"WR";"MIN"
"Canfield, Sean";"QB";"NOR"
"Carlos, Keith";"WR";"PHI"
"Carlson, John";"TE";"SEA"
"Carpenter, Rudy";"QB";"TAM"
"Carr, David";"QB";"NYG"
"Celek, Brent";"TE";"PHI"
"Chapas, Shaun";"RB";"DAL"
"Chiles, John";"WR";"STL"
"Clark, Desmond";"TE";"CHI"
"Clausen, Jimmy";"QB";"CAR"
"Clayton, Mark";"WR";"STL"
"Clayton, Michael";"WR";"NYG"
"Clemens, Kellen";"QB";"STL"
"Clutts, Tyler";"RB";"CHI"
"Cobb, Randall";"WR";"GNB"
"Collins, Jed";"RB";"NOR"
"Colston, Marques";"WR";"NOR"
"Cone, Kevin";"WR";"ATL"
"Cooley, Chris";"TE";"WAS"
"Cooper, Riley";"WR";"PHI"
"Cosby, DeMarco";"TE";"STL"
"Cox, Mike";"RB";"ATL"
"Crabtree, Michael";"WR";"SFO"
"Crabtree, Tom";"TE";"GNB"
